# source: NASA Exoplanet Archive, pscomppars composite-parameters table, TAP service (keyless). https://exoplanetarchive.ipac.caltech.edu/
# query: select top 1000 pl_name,hostname,ra,dec,st_teff,pl_orbper from pscomppars where st_teff is not null and pl_orbper is not null and ra is not null and dec is not null order by pl_name
# rows: 1000
pl_name,hostname,ra,dec,st_teff,pl_orbper
HD 30669 b,HD 30669,72.1198522,-28.4190757,5400.00,1684.00000000000
HD 3167 e,HD 3167,8.7401487,4.3807215,5261.00,96.63000000000
HD 33142 b,HD 33142,76.8980559,-13.9863374,5025.40,330.00000000000
HD 33844 c,HD 33844,78.1505649,-14.9509775,4861.00,916.00000000000
HD 37605 c,HD 37605,85.0074276,6.0595116,5329.00,2720.00000000000
HD 38283 b,HD 38283,84.2605324,-73.6998131,5981.00,363.20001000000
HD 38801 b,HD 38801,86.9963141,-8.3280256,5338.00,685.25000000000
HD 42012 b,HD 42012,92.4854730,34.1341722,5405.00,857.50000000000
HD 43691 b,HD 43691,94.8946124,41.0920773,6093.00,36.99870000000
HD 50554 b,HD 50554,103.6782730,24.2451409,5987.00,1293.00000000000
HD 51608 b,HD 51608,103.7137102,-55.2600189,5358.00,14.07260000000
HD 51608 c,HD 51608,103.7137102,-55.2600189,5358.00,95.94460000000
HD 55696 b,HD 55696,108.0622029,-38.1746390,6012.00,1827.00000000000
HD 5891 b,HD 5891,15.1383168,20.2923139,4673.00,177.11000000000
HD 60532 c,HD 60532,113.5130656,-22.2958661,6245.00,600.10000000000
HD 64121 b,HD 64121,117.3651424,-54.8126136,5078.00,623.00000000000
HD 72490 b,HD 72490,128.4028287,13.5507189,4934.00,858.00000000000
HD 72659 b,HD 72659,128.5128072,-1.5686323,5929.00,3549.00000000000
HD 72892 b,HD 72892,128.7195554,-14.4574311,5688.00,39.44603000000
HD 73534 b,HD 73534,129.8153421,12.9599703,4917.00,1750.00000000000
HD 7924 b,HD 7924,20.4956562,76.7101475,5131.00,5.39792000000
HD 80653 b,HD 80653,140.3390845,14.3678691,5959.00,0.71957300000
HD 8326 b,HD 8326,20.5314418,-26.8940678,4914.00,158.99100000000
HD 93385 d,HD 93385,161.5627065,-41.4646040,5977.00,45.85000000000
HD 95872 b,HD 95872,165.8658796,-22.0943303,5312.00,4375.00000000000
HD 96700 c,HD 96700,166.9742616,-30.1751383,5845.00,19.88000000000
HD 96992 b,HD 96992,167.5966158,43.9189897,4725.00,514.00000000000
HD 99492 b,HD 99492,171.6896870,3.0071331,4929.00,17.05030000000
HIP 10090 c,HIP 10090,32.4351198,-30.7470844,5661.00,321.82000000000
HIP 14810 d,HIP 14810,47.8092750,21.0971302,5544.00,981.80000000000
HIP 54373 b,HIP 54373,166.8643532,-19.2916857,4021.00,7.76000000000
HIP 55507 b,HIP 55507,170.5227246,46.9078030,4171.00,5138.43727000000
HIP 8923 b,HIP 8923,28.7250931,-11.5113361,5980.00,5160.00000000000
HIP 9618 b,HIP 9618,30.9050061,21.2813274,5649.00,20.77285800000
HIP 9618 c,HIP 9618,30.9050061,21.2813274,5649.00,52.56363000000
HIP 97166 c,HIP 97166,296.2446203,74.0628577,5216.00,16.43200000000
HR 8799 c,HR 8799,346.8701486,21.1340376,7204.58,69000.00000000000
HR 8799 d,HR 8799,346.8701486,21.1340376,7204.58,37000.00000000000
IRAS 04125+2902 b,IRAS 04125+2902,63.9283394,29.1665420,4080.00,8.83497800000
K2-10 b,K2-10,172.1216476,1.6906217,5533.00,19.30553000000
K2-100 b,K2-100,129.6010863,20.1060074,5945.00,1.67390350000
K2-108 b,K2-108,123.3818484,16.4195160,5599.00,4.73399900000
K2-110 b,K2-110,207.3497402,-12.2849182,5010.00,13.86375000000
K2-121 b,K2-121,126.9366624,17.5793267,4526.00,5.18573800000
K2-127 b,K2-127,207.0782895,-11.5889878,4575.00,3.58816300000
K2-136 d,K2-136,67.4128615,22.8825674,4500.00,25.57500000000
K2-138 g,K2-138,348.9490311,-10.8497391,5356.30,41.96797000000
K2-154 b,K2-154,189.0015173,-2.6696217,4097.00,3.67626000000
K2-165 b,K2-165,184.9004881,0.9683270,5185.00,2.35499200000
K2-165 c,K2-165,184.9004881,0.9683270,5185.00,4.38274500000
K2-173 b,K2-173,60.3752402,15.6251296,5580.00,5.86869900000
K2-177 b,K2-177,55.2296156,20.7360891,6063.00,14.15518500000
K2-183 d,K2-183,125.0071770,14.0194586,5482.00,22.62034400000
K2-187 b,K2-187,132.5235618,23.1924709,5438.00,0.77401000000
K2-187 c,K2-187,132.5235618,23.1924709,5438.00,2.87151200000
K2-19 b,K2-19,174.9602543,0.6035960,5322.00,7.91930000000
K2-195 c,K2-195,199.8315191,-8.5095364,5712.00,28.48278600000
K2-197 b,K2-197,202.3934779,-7.3739779,5667.00,8.35788100000
K2-198 b,K2-198,198.8436817,-6.4649888,5212.90,17.04286830000
K2-201 c,K2-201,293.5607117,-23.1312775,5507.00,22.77987800000
K2-205 b,K2-205,15.2175909,0.4259660,5890.00,26.67226300000
K2-214 b,K2-214,14.8759777,4.2277722,5875.00,8.59656000000
K2-22 b,K2-22,169.4827046,2.6190363,3879.00,0.38107300000
