t,spark,resonance,photons,lattice,Q,coherence,p_extracted,p_out
6.96,0.0,1.4122243846686027,1.9943777126526137e-05,0.8610972305921413,1429.3004006028664,0.9887096464840457,0.6199900060263417,0.564190905483971
6.98,0.0,1.4142723552897116,2.0001662949367085e-05,0.8621855145899631,1430.678289172644,0.9887394225189845,0.6207735705047733,0.5649039491593437
7.0,0.0006218151311960092,1.4163329391281532,2.0059989944593932e-05,0.8632676260524168,1432.0607915605922,0.9887736155999725,0.6215526907577401,0.5656129485895435
7.0200000000000005,0.003560091262471193,1.4184476171391294,2.0119936425676742e-05,0.8643494441480015,1433.4479130289346,0.9888184358764386,0.622331599786561,0.5663217558057706
7.04,0.005204208683625808,1.4205933008161666,2.0180853263237718e-05,0.8654337343950769,1434.8396588475614,0.9888684435926456,0.6231122887644553,0.5670321827756544
7.0600000000000005,0.004780247450026438,1.4227329626452516,2.024169082997335e-05,0.8665194413137404,1436.2360342939471,0.9889167264581784,0.623893997745893,0.5677435379487626
7.08,0.004646610085220531,1.4248718061743062,2.03025966403043e-05,0.8676061635728406,1437.6370446530711,0.9889644350972278,0.6246764377724452,0.5684555583729252
7.1000000000000005,0.0025486191542405025,1.4269745408251253,2.036256340163077e-05,0.8686903934383933,1439.042695217336,0.9890058141178871,0.6254570832756431,0.5691659457808352
7.12,0.0024606204991709127,1.4290772546614017,2.042261799790569e-05,0.8697724911335549,1440.452991286485,0.98904780307986,0.6262361936161596,0.5698749361907052
7.140000000000001,0.0018340908113472177,1.4311702561153297,2.0482483019892182e-05,0.8708518813298447,1441.8679381675217,0.9890886971329419,0.6270133545574882,0.5705821526473143
7.16,0.0024428461157964525,1.433275789905272,2.0542794899285813e-05,0.871930093373793,1443.2875411746263,0.9891323389744985,0.627789667229131,0.5712885971785092
7.18,0.0007395273063758774,1.4353521779803526,2.0602358748329424e-05,0.873004634838168,1444.7118056290726,0.989171413319951,0.628563337083481,0.5719926367459677
7.2,0.0017634297887307044,1.4374486114436469,2.0662585105412684e-05,0.8740778827191604,1446.1407368591447,0.9892147328802721,0.6293360755577955,0.572695828757594
7.22,0.0047936390189612455,1.439601386857409,2.0724521530417753e-05,0.8751550617272169,1447.574340200053,0.9892676597923299,0.6301116444435961,0.5734015964436725
7.24,0.004480245941668305,1.4417501181744887,2.0786434032561523e-05,0.876235035884283,1449.0126209938503,0.9893188100287109,0.6308892258366837,0.5741091955113822
7.26,0.005194064467032821,1.4439134022023026,2.0848859130594287e-05,0.8773185436875304,1450.4555845893456,0.9893715584075302,0.6316693514550219,0.5748191098240699
7.28,0.006470471161114389,1.446101464902884,2.091209446794267e-05,0.8784071127864229,1451.90323634202,0.9894273923056476,0.6324531212062244,0.5755323402976642
7.3,0.005538620794120429,1.4482742848891677,2.09749840427123e-05,0.8794983964956399,1453.35558161394,0.9894793045609187,0.6332388454768607,0.5762473493839433
7.32,0.005876033341858854,1.4504548911930657,2.1038193913858885e-05,0.8805925362626942,1454.812625773672,0.9895317163066235,0.6340266261091397,0.5769642297593172
7.34,0.005783697476585267,1.4526354870943226,2.11014985836576e-05,0.8816889459859795,1456.274374196194,0.9895833060909079,0.6348160411099052,0.5776825974100137
7.36,0.005863375724151225,1.4548192057754914,2.1164989214932318e-05,0.8827874250161182,1457.7408322628098,0.9896347453819374,0.6356069460116051,0.5784023208705606
7.38,0.004200088641957267,1.4569743031200313,2.1227741199521012e-05,0.8838849501388075,1459.2120053610608,0.9896808731391725,0.6363971640999414,0.5791214193309467
7.4,0.004165107217636007,1.4591304243185879,2.1290615951721425e-05,0.8849817033492748,1460.6878988846372,0.9897273632519026,0.6371868264114778,0.5798400120344448
7.42,0.0050778016557741865,1.461304872918778,2.1354119316161666e-05,0.8860793922456283,1462.1685182332897,0.9897770046095337,0.6379771624168523,0.5805592177993356
